participant,trial,item,type,freq,length,word_length,response,rt
1.0,57.0,1.0,experimental,high,short,3.0,YES,117.58
1.0,59.0,2.0,experimental,high,short,4.0,YES,170.71
1.0,39.0,3.0,experimental,high,short,5.0,YES,174.26
1.0,96.0,4.0,experimental,high,short,5.0,YES,138.13
1.0,15.0,5.0,experimental,high,short,5.0,YES,156.87
1.0,58.0,6.0,experimental,high,short,3.0,YES,226.26
1.0,82.0,7.0,experimental,high,medium,9.0,YES,195.47
1.0,102.0,8.0,experimental,high,medium,6.0,YES,199.79
1.0,32.0,9.0,experimental,high,medium,7.0,YES,173.87
1.0,41.0,10.0,experimental,high,medium,9.0,YES,153.01999999999998
1.0,7.0,11.0,experimental,high,medium,10.0,YES,179.35
1.0,80.0,12.0,experimental,high,medium,7.0,YES,197.0
1.0,27.0,13.0,experimental,high,long,11.0,YES,164.07
1.0,69.0,14.0,experimental,high,long,13.0,YES,255.1
1.0,98.0,15.0,experimental,high,long,11.0,YES,204.23
1.0,36.0,16.0,experimental,high,long,14.0,YES,217.56
1.0,67.0,17.0,experimental,high,long,11.0,YES,275.53
1.0,63.0,18.0,experimental,high,long,14.0,YES,304.66
1.0,20.0,19.0,experimental,medium,short,4.0,YES,178.81
1.0,101.0,20.0,experimental,medium,short,4.0,YES,221.72
1.0,53.0,21.0,experimental,medium,short,3.0,YES,289.45
1.0,33.0,22.0,experimental,medium,short,3.0,YES,195.72
1.0,77.0,23.0,experimental,medium,short,3.0,YES,191.13
1.0,107.0,24.0,experimental,medium,short,5.0,YES,760.9
1.0,78.0,25.0,experimental,medium,medium,9.0,YES,309.07
1.0,50.0,26.0,experimental,medium,medium,7.0,YES,270.81
1.0,28.0,27.0,experimental,medium,medium,9.0,YES,280.1
1.0,97.0,28.0,experimental,medium,medium,8.0,YES,251.09
1.0,103.0,29.0,experimental,medium,medium,8.0,YES,341.77
1.0,79.0,30.0,experimental,medium,medium,7.0,YES,240.67
1.0,90.0,31.0,experimental,medium,long,16.0,YES,285.85
1.0,5.0,32.0,experimental,medium,long,14.0,YES,299.29
1.0,26.0,33.0,experimental,medium,long,15.0,YES,219.83
1.0,48.0,34.0,experimental,medium,long,14.0,YES,196.47
1.0,11.0,35.0,experimental,medium,long,16.0,NO,802.8199999999999
1.0,85.0,36.0,experimental,medium,long,15.0,YES,302.5
1.0,81.0,37.0,experimental,low,short,5.0,NO,185.98
1.0,87.0,38.0,experimental,low,short,3.0,YES,211.69
1.0,14.0,39.0,experimental,low,short,4.0,YES,298.11
1.0,13.0,40.0,experimental,low,short,5.0,YES,199.54
1.0,44.0,41.0,experimental,low,short,2.0,YES,763.76
1.0,75.0,42.0,experimental,low,short,2.0,YES,277.09000000000003
1.0,51.0,43.0,experimental,low,medium,7.0,YES,709.49
1.0,99.0,44.0,experimental,low,medium,8.0,YES,249.24
1.0,93.0,45.0,experimental,low,medium,7.0,YES,184.4
1.0,54.0,46.0,experimental,low,medium,6.0,YES,312.19
1.0,100.0,47.0,experimental,low,medium,9.0,YES,343.2
1.0,37.0,48.0,experimental,low,medium,6.0,YES,410.02
1.0,62.0,49.0,experimental,low,long,15.0,YES,145.03
1.0,29.0,50.0,experimental,low,long,11.0,YES,100.45
1.0,76.0,51.0,experimental,low,long,12.0,YES,167.55
1.0,92.0,52.0,experimental,low,long,11.0,YES,142.69
1.0,46.0,53.0,experimental,low,long,13.0,YES,123.15
1.0,106.0,54.0,experimental,low,long,14.0,YES,292.51
1.0,22.0,101.0,filler,,short,3.0,NO,179.91
1.0,84.0,102.0,filler,,short,2.0,NO,128.38
1.0,104.0,103.0,filler,,short,3.0,NO,159.67000000000002
1.0,88.0,104.0,filler,,short,5.0,NO,169.23
1.0,42.0,105.0,filler,,short,3.0,NO,180.38
1.0,8.0,106.0,filler,,short,3.0,NO,249.11
1.0,108.0,107.0,filler,,medium,8.0,NO,154.07999999999998
1.0,45.0,108.0,filler,,medium,7.0,NO,239.82
1.0,25.0,109.0,filler,,medium,8.0,NO,233.62
